,cal0,cal1,cal2
ch01,-3.6139390454182005,0.02632478907628011,0.0
ch02,-4.028513125026253,0.025678332886693533,0.0
ch03,-6.78116486142281,0.026585252233081516,0.0
ch04,-3.860840342403197,0.027221577888117677,0.0
ch05,-2.9619637961903544,0.02237551775633681,0.0
ch06,-3.1785811943184097,0.024961067729530426,0.0
ch07,-2.7313959415981106,0.019734832213852947,0.0
