,cal0,cal1,cal2
ch01,-3.401115063424875,0.026542314522092016,0.0
ch02,-3.7018372826370896,0.02537887338172912,0.0
ch03,-6.455761706685114,0.026497452493972114,0.0
ch04,-3.765245704336695,0.027042835402645935,0.0
ch05,-3.055658542051367,0.021926188522581498,0.0
ch06,-3.3235558909817025,0.025507016556442743,0.0
ch07,-3.0377203983532572,0.020466033223056446,0.0
