,cal0,cal1,cal2
ch01,-2.629804998805815,0.025528449670035903,0.0
ch02,-3.237849631672826,0.025090368540169022,0.0
ch03,-6.4751921157995405,0.02684600855885538,0.0
ch04,-3.8671847539941635,0.027083964199557855,0.0
ch05,-2.9120523156508646,0.021912125096684252,0.0
ch06,-3.344734639545031,0.025407416071680424,0.0
ch07,-2.9737840830166884,0.02077184020776692,0.0
